merchantidentifier,dateclosedforfraud,Flag_for_data_with_fraud_outcomes
19040311,,1
19041453,,1
19083361,,1
19085705,,1
19086181,,1
19093905,,1
19096115,,1
19097735,,1
19098705,2013-08-30,1
19101529,,1
19108789,,1
19112681,,1
19143855,,1
19151127,,1
19152051,,1
19154197,,1
19154891,,1
19158585,,1
19162281,,1
19164047,2013-06-23,1
19166027,,1
19166209,,1
19169695,,1
19170135,2014-06-30,1
19211299,,1
27875915,,1
27879741,,1
27881111,,1
27884839,,1
27892445,,1
27897711,,1
27899047,,1
27903501,,1
27919097,,1
27930329,,1
27943269,,1
27945645,,1
27949011,,1
27951833,,1
27971137,,1
27971351,,1
27974583,,1
27982983,,1
27351627,,1
25490439,,1
27399461,,1
27361893,,1
25517371,,1
27363821,,1
25549333,,1
27418381,,1
25561957,,1
27386675,,1
27429887,,1
25576689,,1
27435461,,1
27393123,,1
25598469,,1
25600841,,1
25605909,,1
25611833,,1
27448051,,1
27403401,,1
25019547,,1
19083939,,1
27968149,,1
19086379,,1
27981681,,1
25049711,,1
27968977,,1
19088775,,1
27970607,,1
25047367,,1
27972041,,1
19089369,,1
27973629,,1
25090743,,1
25095713,,1
27996447,,1
25060961,,1
27997305,,1
25062843,,1
28000685,,1
28004629,,1
19092187,,1
25139093,,1
28013011,,1
24727881,,1
25161003,2013-10-23,1
24733307,,1
28022449,,1
24750299,,1
24757381,,1
28026409,,1
24767927,,1
24771673,,1
28031325,,1
28035073,,1
25580153,,1
25733107,,1
25581757,,1
25581805,,1
25586673,,1
25753685,,1
25787809,,1
25607031,,1
25804551,,1
25834729,,1
25637771,,1
25642655,,1
25693195,,1
25906375,,1
25916671,,1
25702879,,1
25724741,,1
19093641,,1
19217621,,1
19218313,,1
19218741,,1
19218809,,1
19226797,,1
19228877,,1
19231813,,1
19326887,2013-12-10,1
27322637,,1
32036303,,1
32038169,,1
32038299,,1
32038399,,1
32040315,,1
32041967,,1
32041983,,1
32042229,,1
32042875,,1
32043733,,1
32045151,,1
32048633,,1
32049607,,1
32049789,,1
32050893,,1
32051075,,1
32053087,,1
32055545,,1
32055941,,1
32056255,,1
31743945,,1
32061653,,1
32067343,,1
32034521,,1
32034605,,1
32070063,,1
32036965,,1
31946663,,1
31947209,,1
31948247,,1
31935723,,1
31950719,,1
31936267,,1
31951897,,1
31951199,,1
31955143,,1
31952851,,1
31956545,,1
31953893,,1
31954913,,1
31939419,,1
31939965,,1
31955097,,1
31940773,,1
31943827,,1
31945031,,1
31957275,,1
31946861,,1
31959287,,1
31971133,,1
31971629,,1
31972103,,1
31962319,,1
31948991,,1
31955477,,1
31975059,,1
31969599,,1
31969635,,1
31971529,,1
31980737,,1
31976543,,1
32032609,,1
32033073,,1
31439833,,1
31440339,,1
31440673,,1
31445987,,1
