first_transaction_amount,time_to_first_txn,loc_hmg_coeff_0.25,loc_hmg_coeff_0.5,loc_hmg_coeff_0.75,loc_hmg_coeff_1.0,org_fraud_prevalence,is_txn_amt_fraud_prevalence_high
3.5,4,0.0,0.0,1.0,0.0,0.0293785310734,0
1.0,1,0.0,0.0,0.0,1.0,0.0240760923412,0
5.0,13,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,10,0.0,0.0,0.0,1.0,0.0222222222222,0
10.0,10,0.0,0.0,0.0,1.0,0.0244435612083,0
27.6,9,0.0,1.0,0.0,0.0,0.18691588785,0
289.03,22,0.0,0.0,0.0,1.0,0.0252763094666,0
100.0,1,0.0,0.0,0.0,1.0,0.062404870624,1
10.83,0,0.0,1.0,0.0,0.0,0.142857142857,1
5.0,85,0.0,0.0,0.0,1.0,0.0194174757282,0
2.0,20,0.0,0.0,0.0,1.0,0.0266931055522,0
0.01,41,0.0,0.0,0.0,1.0,0.0293785310734,0
5.0,20,0.0,0.0,0.0,1.0,0.0,0
85.0,56,0.0,0.0,0.0,1.0,0.0466666666667,0
0.54,223,0.0,0.0,0.0,1.0,0.0,1
245.0,165,0.0,0.0,0.0,1.0,0.0293785310734,0
10.0,1,0.0,0.0,1.0,0.0,0.0241172898412,0
30.0,30,0.0,0.0,0.0,1.0,0.0270162892332,0
10.0,3,0.0,0.0,0.0,1.0,0.0293785310734,0
41.0,13,0.0,0.0,1.0,0.0,0.0246470983643,1
71.0,1,0.0,0.0,0.0,1.0,0.0688935281837,0
724.5,0,0.0,0.0,1.0,0.0,0.0252763094666,0
2.0,9,0.0,0.0,0.0,1.0,0.0172359266287,0
0.08,5,0.0,0.0,0.0,1.0,0.0625,0
0.01,0,0.0,0.0,0.0,1.0,0.0466666666667,0
260.0,5,0.0,0.0,0.0,1.0,0.0688935281837,0
4900.0,36,0.0,0.0,0.0,1.0,0.0244435612083,0
420.0,34,0.0,0.0,0.0,1.0,0.0246470983643,1
0.01,15,0.0,0.0,0.0,1.0,0.0,0
80.0,14,0.0,0.0,1.0,0.0,0.0246470983643,0
1.0,9,0.0,0.0,0.0,1.0,0.0246470983643,0
1365.04,10,0.0,0.0,0.0,1.0,0.0172359266287,0
0.01,9,0.0,0.0,0.0,1.0,0.0293785310734,0
60.68,1,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,134,0.0,0.0,0.0,1.0,0.0241172898412,0
1.0,11,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,8,0.0,0.0,1.0,0.0,0.0226492793411,0
302.74,15,1.0,0.0,0.0,0.0,0.0252763094666,0
0.01,0,0.0,0.0,0.0,1.0,0.0293785310734,0
