first_transaction_amount,time_to_first_txn,loc_hmg_coeff_0.25,loc_hmg_coeff_0.5,loc_hmg_coeff_0.75,loc_hmg_coeff_1.0,org_fraud_prevalence,is_txn_amt_fraud_prevalence_high
10.7,22,0.0,0.0,0.0,1.0,0.0320641282565,0
0.01,225,0.0,0.0,0.0,1.0,0.0715048025614,0
8.0,109,0.0,0.0,0.0,1.0,0.0246470983643,0
0.1,33,0.0,0.0,0.0,1.0,0.0266931055522,0
69.81,4,0.0,0.0,0.0,1.0,0.0246470983643,0
10.0,4,0.0,1.0,0.0,0.0,0.0178389398573,0
0.11,14,0.0,0.0,0.0,1.0,0.0172359266287,1
3240.72,14,0.0,0.0,0.0,1.0,0.0246470983643,0
14.0,110,1.0,0.0,0.0,0.0,0.0240760923412,0
12.0,5,0.0,1.0,0.0,0.0,0.0466666666667,0
1.0,5,0.0,0.0,0.0,1.0,0.0246470983643,0
70.53,11,0.0,0.0,0.0,1.0,0.0241172898412,0
2.0,14,0.0,0.0,1.0,0.0,0.0466666666667,0
1.1,0,0.0,0.0,0.0,1.0,0.0246470983643,0
51.05,1,0.0,0.0,0.0,1.0,0.0293785310734,0
120.0,3,0.0,0.0,0.0,1.0,0.0244435612083,1
1.0,0,0.0,0.0,0.0,1.0,0.0226492793411,0
1000.0,7,0.0,0.0,0.0,1.0,0.0199203187251,0
1850.0,0,0.0,0.0,0.0,1.0,0.0252763094666,0
165.0,19,1.0,0.0,0.0,0.0,0.0240760923412,0
1.0,0,0.0,0.0,0.0,1.0,0.0293785310734,0
1.0,23,0.0,0.0,0.0,1.0,0.0,0
298.5,163,0.0,0.0,0.0,1.0,0.0252763094666,1
103.0,13,0.0,0.0,0.0,1.0,0.0172359266287,0
1.0,0,0.0,0.0,0.0,1.0,0.0241172898412,0
1500.0,29,0.0,0.0,0.0,1.0,0.0246470983643,0
1.1,7,0.0,0.0,0.0,1.0,0.0,0
0.01,21,0.0,0.0,0.0,1.0,0.0246470983643,0
107.75,0,0.0,0.0,0.0,1.0,0.0466666666667,0
1.0,2,0.0,0.0,0.0,1.0,0.0240760923412,0
12.99,9,0.0,0.0,1.0,0.0,0.0715048025614,0
2885.85,21,0.0,0.0,0.0,1.0,0.0172359266287,0
75.0,3,0.0,0.0,0.0,1.0,0.0270162892332,0
20.0,7,0.0,0.0,0.0,1.0,0.0172359266287,0
1.0,0,0.0,0.0,0.0,1.0,0.0246470983643,0
25.0,81,0.0,0.0,0.0,1.0,0.0688935281837,0
1.0,27,0.0,0.0,0.0,1.0,0.0240760923412,0
5.0,5,0.0,0.0,0.0,1.0,0.0246470983643,0
10.0,8,0.0,1.0,0.0,0.0,0.0466666666667,0
5.0,17,0.0,0.0,0.0,1.0,0.0266931055522,0
1400.0,30,0.0,0.0,0.0,1.0,0.0241172898412,0
1330.0,2,0.0,0.0,0.0,1.0,0.0252763094666,0
318.0,193,0.0,0.0,0.0,1.0,0.0252763094666,1
1.0,6,0.0,0.0,0.0,1.0,0.0328947368421,0
1.0,74,0.0,0.0,0.0,1.0,0.0,0
1.0,0,0.0,1.0,0.0,0.0,0.0466666666667,0
1280.0,43,0.0,0.0,0.0,1.0,0.0246470983643,0
40.0,49,0.0,0.0,0.0,1.0,0.025641025641,0
812.97,218,1.0,0.0,0.0,0.0,0.0178389398573,0
90.0,7,0.0,1.0,0.0,0.0,0.0240760923412,0
3540.25,0,0.0,0.0,1.0,0.0,0.0246470983643,0
210.0,27,0.0,0.0,0.0,1.0,0.0,0
1.0,38,0.0,0.0,0.0,1.0,0.0241172898412,0
1.0,4,0.0,0.0,0.0,1.0,0.0246470983643,0
475.0,14,0.0,0.0,0.0,1.0,0.0241172898412,1
1.0,25,0.0,0.0,0.0,1.0,0.0466666666667,0
43.57,74,0.0,0.0,0.0,1.0,0.0328947368421,0
20.0,8,0.0,0.0,0.0,1.0,0.0241172898412,0
4379.0,12,0.0,0.0,0.0,1.0,0.0466666666667,0
429.0,75,0.0,0.0,0.0,1.0,0.0266931055522,0
10.0,370,0.0,0.0,0.0,1.0,0.0246470983643,0
5.83,9,0.0,0.0,0.0,1.0,0.0314960629921,1
50.0,7,0.0,1.0,0.0,0.0,0.0240760923412,0
1.0,103,0.0,0.0,1.0,0.0,0.0246470983643,0
40.0,144,0.0,1.0,0.0,0.0,0.0207939508507,0
5.0,0,0.0,1.0,0.0,0.0,0.0252763094666,0
10.0,7,0.0,0.0,0.0,1.0,0.0266931055522,0
0.01,4,0.0,0.0,0.0,1.0,0.0172359266287,0
5.0,12,0.0,0.0,0.0,1.0,0.0172359266287,0
1.0,2,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,16,0.0,0.0,0.0,1.0,0.0266931055522,0
0.1,278,0.0,1.0,0.0,0.0,0.083615819209,0
140.13,5,0.0,0.0,0.0,1.0,0.0293785310734,0
3000.0,5,0.0,0.0,0.0,1.0,0.0266931055522,0
80.0,133,0.0,0.0,0.0,1.0,0.0241172898412,0
321.0,10,1.0,0.0,0.0,0.0,0.0240760923412,0
3.44,1,0.0,0.0,0.0,1.0,0.0252763094666,0
1.0,9,0.0,0.0,0.0,1.0,0.0252442996743,0
0.1,241,1.0,0.0,0.0,0.0,0.0240760923412,0
10.0,5,0.0,1.0,0.0,0.0,0.083615819209,0
1.0,0,0.0,0.0,0.0,1.0,0.0252763094666,0
385.18,19,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,491,0.0,0.0,0.0,1.0,0.0293785310734,0
0.01,0,0.0,0.0,0.0,1.0,0.0178389398573,0
0.01,7,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,14,0.0,0.0,0.0,1.0,0.0210030004286,0
0.9,9,0.0,0.0,0.0,1.0,0.0252763094666,1
25.0,1,0.0,0.0,0.0,1.0,0.0438871473354,0
31.64,116,0.0,0.0,0.0,1.0,0.0244435612083,0
285.0,13,0.0,0.0,0.0,1.0,0.0241172898412,1
66.0,51,0.0,0.0,0.0,1.0,0.0284090909091,1
92.0,8,0.0,0.0,0.0,1.0,0.0184563758389,1
5.43,0,0.0,0.0,0.0,1.0,0.0,0
0.5,8,0.0,0.0,1.0,0.0,0.0241172898412,0
180.0,10,0.0,0.0,0.0,1.0,0.0246470983643,0
1.0,0,0.0,0.0,0.0,1.0,0.0244435612083,0
40.0,4,0.0,0.0,0.0,1.0,0.0246470983643,0
48.0,7,0.0,0.0,0.0,1.0,0.0,0
1.0,22,0.0,0.0,0.0,1.0,0.0172359266287,0
1.0,23,0.0,0.0,0.0,1.0,0.0252763094666,0
1000.0,13,0.0,0.0,0.0,1.0,0.0266931055522,0
3679.16,119,0.0,0.0,0.0,1.0,0.0240760923412,0
1.0,24,0.0,0.0,0.0,1.0,0.0172359266287,0
1.06,21,0.0,0.0,0.0,1.0,0.0252763094666,0
81.28,160,0.0,0.0,0.0,1.0,0.0438871473354,0
1.0,58,0.0,0.0,0.0,1.0,0.0132492113565,0
100.0,54,0.0,0.0,0.0,1.0,0.0466666666667,1
22.73,16,0.0,0.0,0.0,1.0,0.0241172898412,0
4.0,11,0.0,0.0,0.0,1.0,0.0466666666667,0
1.0,13,0.0,0.0,0.0,1.0,0.0266931055522,0
10.0,1,0.0,0.0,0.0,1.0,0.0252763094666,0
1.0,5,0.0,0.0,0.0,1.0,0.0266931055522,0
20.0,0,0.0,0.0,0.0,1.0,0.0206896551724,0
2400.0,0,0.0,0.0,0.0,1.0,0.0227272727273,0
4.0,269,0.0,0.0,0.0,1.0,0.0,0
400.0,0,0.0,0.0,0.0,1.0,0.0270162892332,1
7.0,37,0.0,0.0,0.0,1.0,0.0241172898412,0
1.0,19,0.0,0.0,0.0,1.0,0.0270162892332,0
